axis,type,start,end
4,ERROR,1938.0,1948.0
4,ALERT,1938.0,1949.0
4,ERROR,1949.0,1959.0
4,ALERT,1950.0,1960.0
4,ERROR,1960.0,1970.0
4,ALERT,1961.0,1971.0
4,ERROR,1971.0,1981.0
4,ALERT,1972.0,1982.0
4,ERROR,1982.0,1992.0
4,ALERT,1983.0,1993.0
4,ERROR,1993.0,2003.0
4,ALERT,1994.0,2004.0
4,ERROR,2004.0,2014.0
4,ALERT,2005.0,2015.0
4,ERROR,2015.0,2025.0
4,ALERT,2016.0,2026.0
4,ERROR,2026.0,2036.0
4,ALERT,2027.0,2037.0
5,ERROR,831.0,841.0
5,ALERT,831.0,842.0
5,ERROR,842.0,852.0
5,ALERT,843.0,853.0
5,ERROR,853.0,863.0
5,ALERT,854.0,864.0
5,ERROR,864.0,874.0
5,ALERT,865.0,875.0
5,ERROR,875.0,885.0
5,ALERT,876.0,886.0
5,ERROR,886.0,896.0
5,ALERT,887.0,897.0
5,ERROR,897.0,907.0
5,ALERT,898.0,908.0
5,ERROR,908.0,918.0
5,ALERT,909.0,919.0
5,ERROR,919.0,929.0
5,ALERT,920.0,930.0
6,ERROR,2035.0,2045.0
6,ALERT,2035.0,2046.0
6,ERROR,2046.0,2056.0
6,ALERT,2047.0,2057.0
6,ERROR,2057.0,2067.0
6,ALERT,2058.0,2068.0
6,ERROR,2068.0,2078.0
6,ALERT,2069.0,2079.0
6,ERROR,2079.0,2089.0
6,ALERT,2080.0,2090.0
6,ERROR,2090.0,2100.0
6,ALERT,2091.0,2101.0
6,ERROR,2101.0,2111.0
6,ALERT,2102.0,2112.0
6,ERROR,2112.0,2122.0
6,ALERT,2113.0,2123.0
6,ERROR,2123.0,2133.0
6,ALERT,2124.0,2134.0
7,ERROR,1195.0,1205.0
7,ALERT,1195.0,1206.0
7,ERROR,1206.0,1216.0
7,ALERT,1207.0,1217.0
7,ERROR,1217.0,1227.0
7,ALERT,1218.0,1228.0
7,ERROR,1228.0,1238.0
7,ALERT,1229.0,1239.0
7,ERROR,1239.0,1249.0
7,ALERT,1240.0,1250.0
7,ERROR,1250.0,1260.0
7,ALERT,1251.0,1261.0
7,ERROR,1261.0,1271.0
7,ALERT,1262.0,1272.0
7,ERROR,1272.0,1282.0
7,ALERT,1273.0,1283.0
7,ERROR,1283.0,1293.0
7,ALERT,1284.0,1294.0
8,ERROR,2417.0,2427.0
8,ALERT,2417.0,2428.0
8,ERROR,2428.0,2438.0
8,ALERT,2429.0,2439.0
8,ERROR,2439.0,2449.0
8,ALERT,2440.0,2450.0
8,ERROR,2450.0,2460.0
8,ALERT,2451.0,2461.0
8,ERROR,2461.0,2471.0
8,ALERT,2462.0,2472.0
8,ERROR,2472.0,2482.0
8,ALERT,2473.0,2483.0
8,ERROR,2483.0,2493.0
8,ALERT,2484.0,2494.0
8,ERROR,2494.0,2504.0
8,ALERT,2495.0,2505.0
8,ERROR,2505.0,2515.0
8,ALERT,2506.0,2516.0
